Movie,Rating,Release Year,Runtime,Metascore,Votes,Gross(Million $),Director,Stars
Inception,8.8,2010,148,74,"2,095,782",292.58,ChristopherNolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe"
Matrix,8.7,1999,136,73,"1,697,398",171.48,"LanaWachowski,LillyWachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
Das Imperium schlägt zurück,8.7,1980,124,82,"1,171,478",290.48,IrvinKershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
Interstellar,8.6,2014,169,74,"1,540,132",188.02,ChristopherNolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
Krieg der Sterne,8.6,1977,121,90,"1,243,483",322.74,GeorgeLucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness"
Prestige: Die Meister der Magie,8.5,2006,130,66,"1,205,831",53.09,ChristopherNolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine"
Terminator 2: Tag der Abrechnung,8.5,1991,137,75,"1,004,810",204.84,JamesCameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
Zurück in die Zukunft,8.5,1985,116,87,"1,072,451",210.61,RobertZemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover"
Spider-Man: A New Universe,8.4,2018,117,87,"390,397",190.24,"BobPersichetti,PeterRamsey,RodneyRothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali"
Avengers: Endgame,8.4,2019,181,78,"850,921",858.37,"AnthonyRusso,JoeRusso","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Avengers: Infinity War,8.4,2018,149,68,"861,531",678.82,"AnthonyRusso,JoeRusso","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans"
WALL·E: Der Letzte räumt die Erde auf,8.4,2008,98,95,"1,011,729",223.81,AndrewStanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard"
