Movie,Rating,Year,Runtime,Metascore,Votes,Gross,Director,Stars
X-Men: Zukunft ist Vergangenheit,7.9,2014,132,75,"665,089",$233.92M,BryanSinger,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy"
Edge of Tomorrow - Live. Die. Repeat,7.9,2014,113,71,"605,666",$100.21M,DougLiman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson"
Moon,7.9,2009,97,67,"337,395",$5.01M,DuncanJones,"Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw"
District 9,7.9,2009,112,81,"641,538",$115.65M,NeillBlomkamp,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt"
Star Trek,7.9,2009,127,82,"579,480",$257.73M,J.J.Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy"
The Man from Earth,7.9,2007,87,nan,"175,468",nan,RichardSchenkman,"David Lee Smith, Tony Todd, John Billingsley, Ellen Crawford"
Iron Man,7.9,2008,126,79,"950,440",$318.41M,JonFavreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges"
Cowboy Bebop - Der Film,7.9,2001,115,61,"43,338",$1.00M,"Shin'ichirôWatanabe,TensaiOkamura,HiroyukiOkiura,YoshiyukiTakei","Beau Billingslea, Melissa Fahn, Nicholas Guest, Kôichi Yamadera"
Children of Men,7.9,2006,109,84,"468,143",$35.55M,AlfonsoCuarón,"Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine"
Brazil,7.9,1985,132,84,"188,794",$9.93M,TerryGilliam,"Jonathan Pryce, Kim Greist, Robert De Niro, Katherine Helmond"
King Kong und die weiße Frau,7.9,1933,100,90,"79,853",$10.00M,"MerianC.Cooper,ErnestB.Schoedsack","Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher"
Star Wars: Rogue One,7.8,2016,133,65,"562,391",$532.18M,GarethEdwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen"
The First Avenger: Civil War,7.8,2016,147,75,"675,226",$408.08M,"AnthonyRusso,JoeRusso","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
Baymax - Riesiges Robowabohu,7.8,2014,102,74,"415,015",$222.53M,"DonHall,ChrisWilliams","Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller"
Alles eine Frage der Zeit,7.8,2013,123,55,"308,806",$15.32M,RichardCurtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson"
Avatar - Aufbruch nach Pandora,7.8,2009,162,83,"1,127,195",$760.51M,JamesCameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez"
Mr. Nobody,7.8,2009,141,63,"218,376",$0.00M,JacoVanDormael,"Jared Leto, Sarah Polley, Diane Kruger, Linh Dan Pham"
Serenity: Flucht in neue Welten,7.8,2005,119,74,"284,572",$25.51M,JossWhedon,"Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk"
