iter	Passed	Remaining
0	3	3775
1	7	3802
2	11	3791
3	13	3343
4	17	3457
5	21	3642
6	26	3698
7	30	3737
8	34	3758
9	37	3752
10	41	3761
11	45	3746
12	47	3639
13	51	3645
14	55	3668
15	60	3746
16	64	3743
17	69	3796
18	73	3788
19	78	3827
20	82	3835
21	86	3850
22	92	3918
23	96	3904
24	97	3812
25	101	3793
26	102	3710
27	107	3721
28	111	3716
29	114	3709
30	117	3667
31	121	3667
32	123	3608
33	127	3610
34	131	3612
35	133	3572
36	137	3579
37	141	3577
38	143	3530
39	147	3535
40	151	3540
41	155	3541
42	159	3544
43	163	3549
44	167	3548
45	170	3542
46	175	3549
47	178	3548
48	182	3544
49	186	3543
50	188	3511
51	192	3505
52	196	3502
53	199	3501
54	203	3490
55	206	3487
56	210	3487
57	214	3486
58	217	3472
59	221	3469
60	225	3467
61	229	3465
62	231	3443
63	235	3444
64	238	3426
65	243	3441
66	246	3428
67	251	3441
68	255	3444
69	257	3422
70	261	3419
71	265	3424
72	269	3417
73	272	3415
74	277	3418
75	281	3418
76	285	3417
77	288	3413
78	293	3417
79	296	3415
80	300	3410
81	304	3407
82	309	3417
83	313	3413
84	316	3411
85	319	3396
86	323	3396
87	327	3394
88	331	3392
89	335	3389
90	338	3376
91	342	3384
92	347	3384
93	350	3379
94	353	3365
95	357	3362
96	360	3360
97	364	3358
98	369	3362
99	373	3361
100	377	3359
101	381	3359
102	386	3363
103	389	3355
104	392	3344
105	396	3345
106	399	3336
107	403	3336
108	407	3334
109	410	3317
110	415	3327
111	419	3327
112	423	3324
113	427	3323
114	432	3327
115	436	3325
116	440	3321
117	443	3313
118	448	3323
119	452	3320
120	456	3317
121	462	3330
122	465	3315
123	468	3311
124	470	3293
125	474	3291
126	478	3292
127	482	3288
128	486	3285
129	490	3283
130	494	3280
131	498	3278
132	501	3266
133	504	3262
134	509	3261
135	513	3260
136	517	3262
137	522	3261
138	526	3258
139	529	3254
140	533	3251
141	538	3251
142	542	3249
143	545	3245
144	549	3242
145	552	3229
146	556	3226
147	559	3223
148	564	3223
149	568	3221
150	572	3220
151	574	3205
152	576	3194
153	581	3191
154	585	3192
155	589	3190
156	593	3188
157	597	3186
158	600	3174
159	604	3172
160	607	3168
161	611	3164
162	615	3162
163	619	3160
164	623	3155
165	627	3153
166	632	3153
167	636	3151
168	640	3148
169	644	3147
170	649	3149
171	653	3146
172	657	3142
173	661	3137
174	665	3136
175	669	3133
176	672	3129
177	677	3129
178	681	3126
179	685	3123
180	689	3120
181	693	3119
182	697	3114
183	701	3111
184	705	3108
185	709	3106
186	713	3103
187	718	3101
188	722	3099
189	726	3097
190	730	3094
191	734	3093
192	739	3091
193	743	3089
194	745	3079
195	750	3076
196	755	3077
197	759	3075
198	763	3072
199	767	3069
200	771	3067
201	775	3063
202	779	3060
203	784	3059
204	788	3057
205	792	3055
206	797	3053
207	801	3052
208	805	3048
209	809	3045
210	815	3047
211	818	3043
212	821	3035
213	823	3023
214	829	3027
215	833	3024
216	837	3020
217	840	3016
218	846	3020
219	851	3019
220	855	3015
221	861	3018
222	866	3019
223	871	3017
224	876	3018
225	880	3015
226	882	3006
227	886	3000
228	891	3000
229	896	3000
230	901	3000
231	908	3008
232	913	3007
233	917	3003
234	923	3005
235	928	3004
236	932	3001
237	937	3001
238	940	2995
239	943	2988
240	947	2983
241	952	2981
242	955	2975
243	958	2971
244	962	2965
245	963	2954
246	968	2951
247	971	2945
248	974	2938
249	977	2931
250	979	2923
251	984	2920
252	986	2913
253	989	2906
254	992	2898
255	995	2891
256	999	2889
257	1002	2884
258	1006	2878
259	1009	2872
260	1013	2868
261	1016	2864
262	1020	2858
263	1023	2853
264	1027	2848
265	1031	2846
266	1034	2841
267	1038	2835
268	1041	2828
269	1045	2825
270	1048	2820
271	1051	2813
272	1054	2807
273	1057	2802
274	1061	2798
275	1064	2792
276	1068	2788
277	1073	2787
278	1077	2783
279	1080	2777
280	1083	2771
281	1086	2766
282	1089	2759
283	1093	2755
284	1096	2750
285	1098	2741
286	1102	2738
287	1105	2732
288	1108	2726
289	1111	2720
290	1113	2713
291	1117	2710
292	1120	2704
293	1123	2698
294	1126	2691
295	1128	2684
296	1131	2678
297	1134	2672
298	1137	2666
299	1140	2660
300	1142	2653
301	1145	2647
302	1149	2644
303	1152	2638
304	1155	2632
305	1157	2625
306	1159	2618
307	1164	2615
308	1167	2610
309	1170	2605
310	1172	2597
311	1174	2589
312	1176	2581
313	1180	2578
314	1181	2570
315	1184	2564
316	1187	2558
317	1189	2550
318	1191	2544
319	1195	2539
320	1196	2531
321	1199	2526
322	1203	2522
323	1206	2517
324	1210	2513
325	1213	2508
326	1216	2503
327	1219	2498
328	1222	2492
329	1225	2488
330	1228	2482
331	1231	2477
332	1234	2472
333	1237	2466
334	1240	2462
335	1242	2454
336	1244	2449
337	1247	2442
