iter	RMSE
0	0.8816694692
1	0.8797095269
2	0.8778116297
3	0.8761979779
4	0.8747286048
5	0.8733018599
6	0.8721894434
7	0.8711382016
8	0.8701959318
9	0.8691530234
10	0.8682881446
11	0.8673643861
12	0.8665654045
13	0.8659401754
14	0.8652235022
15	0.8645459433
16	0.8639072238
17	0.8633583969
18	0.8628354484
19	0.8622437619
20	0.8616241574
21	0.8610451055
22	0.8605234993
23	0.8600156519
24	0.8596145392
25	0.8591623091
26	0.8587260254
27	0.8583548376
28	0.8579890396
29	0.8576250774
30	0.8572402628
31	0.8568493918
32	0.8565457534
33	0.8562562339
34	0.8558892635
35	0.855582277
36	0.8552785478
37	0.8550422069
38	0.8547115346
39	0.8544369229
40	0.854184518
41	0.8538445599
42	0.8535847431
43	0.8533325125
44	0.8531339985
45	0.8528135375
46	0.8524718347
47	0.8522332997
48	0.8520069045
49	0.8518101367
50	0.8515423459
51	0.8513413431
52	0.8510776544
53	0.8508693361
54	0.8506183975
55	0.8503773157
56	0.8502026736
57	0.8500095969
58	0.8498026302
59	0.8495767659
60	0.8494085369
61	0.8491534628
62	0.8489781446
63	0.8487448746
64	0.8484725503
65	0.8482648018
66	0.8480255986
67	0.8478107049
68	0.8476255284
69	0.847386414
70	0.8472060954
71	0.8470018286
72	0.8468027849
73	0.8466462614
74	0.8464162339
75	0.8461575688
76	0.8459509112
77	0.8457264802
78	0.8455666228
79	0.8453962319
80	0.8451793341
81	0.8450331589
82	0.8448840825
83	0.8446947956
84	0.8445301693
85	0.844381118
86	0.8442035282
87	0.8440846864
88	0.843905965
89	0.843781423
90	0.8436179958
91	0.8434220159
92	0.8431963024
93	0.8430454338
94	0.8428302543
95	0.8425897168
96	0.8424222104
97	0.8422627622
98	0.842074753
99	0.8418689072
100	0.841653789
101	0.8415146671
102	0.8413556561
103	0.8412112627
104	0.8410401689
105	0.8409239526
106	0.8408250608
107	0.8406345208
108	0.8404646742
109	0.8402886874
110	0.8401202398
111	0.8400166748
112	0.8398204762
113	0.8395979806
114	0.8394408457
115	0.8392273661
116	0.8390510346
117	0.8388413353
118	0.838673004
119	0.8384589398
120	0.8382903401
121	0.838138311
122	0.8379175301
123	0.8377620407
124	0.837561819
125	0.8374553818
126	0.8372826137
127	0.8370735308
128	0.8368939502
129	0.8367620618
130	0.8366551556
131	0.8364943812
132	0.836305238
133	0.8361556015
134	0.8359350626
135	0.835775292
