iter	Passed	Remaining
0	176	176387
1	200	100266
2	222	73849
3	246	61301
4	270	53730
5	289	47898
6	308	43808
7	327	40662
8	347	38277
9	367	36388
10	403	36258
11	424	34980
12	445	33856
13	466	32873
14	489	32122
15	508	31294
16	528	30541
17	546	29830
18	567	29307
19	588	28826
20	609	28393
21	630	28020
22	653	27763
23	675	27461
24	694	27066
25	712	26683
26	731	26356
27	751	26074
28	769	25774
29	790	25557
30	810	25319
31	830	25133
32	852	24979
33	876	24905
34	898	24769
35	914	24496
36	925	24082
37	934	23669
38	945	23289
39	954	22915
40	964	22562
41	974	22216
42	983	21896
43	994	21603
44	1004	21320
45	1013	21018
46	1022	20739
47	1031	20458
48	1040	20191
49	1050	19954
50	1059	19706
51	1067	19464
52	1077	19246
53	1086	19035
54	1095	18816
55	1104	18612
56	1113	18414
57	1121	18220
58	1132	18055
59	1142	17898
60	1153	17751
61	1162	17590
62	1172	17434
63	1182	17288
64	1195	17190
65	1205	17052
66	1216	16933
67	1225	16801
68	1235	16669
69	1246	16556
70	1255	16429
71	1265	16315
72	1275	16197
73	1284	16074
74	1294	15960
75	1302	15839
76	1312	15733
77	1321	15621
78	1330	15515
79	1339	15405
80	1349	15315
81	1360	15231
82	1370	15145
83	1381	15060
84	1393	14998
85	1402	14904
86	1413	14836
87	1424	14762
88	1435	14692
89	1444	14608
90	1454	14530
91	1465	14459
92	1475	14389
93	1485	14313
94	1495	14243
95	1505	14176
96	1515	14106
97	1545	14229
98	1570	14292
99	1592	14330
100	1616	14390
101	1639	14437
102	1666	14512
103	1688	14547
104	1707	14553
105	1721	14519
106	1735	14483
107	1749	14449
108	1765	14430
109	1780	14409
110	1796	14384
111	1810	14356
112	1828	14356
113	1845	14340
114	1859	14308
115	1873	14279
116	1888	14252
117	1922	14367
118	1944	14396
119	1968	14439
120	1992	14475
121	2018	14524
122	2044	14579
123	2059	14549
124	2072	14505
125	2085	14466
126	2098	14422
127	2112	14393
128	2125	14351
129	2137	14301
130	2147	14246
131	2159	14203
132	2171	14154
133	2183	14109
134	2194	14063
135	2206	14018
136	2216	13959
137	2226	13907
138	2236	13852
139	2245	13793
140	2255	13740
141	2264	13681
142	2273	13625
143	2282	13570
144	2291	13511
145	2300	13456
146	2309	13401
147	2319	13353
148	2328	13297
149	2337	13247
150	2346	13194
151	2356	13148
152	2366	13098
153	2375	13050
154	2385	13005
155	2395	12961
156	2406	12922
157	2418	12888
158	2427	12842
159	2440	12810
160	2451	12775
161	2464	12746
162	2475	12713
163	2487	12681
164	2501	12660
165	2512	12625
166	2523	12588
167	2534	12554
168	2544	12510
169	2554	12470
170	2564	12433
171	2575	12398
172	2585	12359
173	2597	12331
174	2607	12292
175	2617	12254
176	2627	12217
177	2636	12175
178	2645	12136
179	2655	12097
180	2665	12062
181	2676	12027
182	2685	11988
183	2695	11952
184	2705	11917
185	2714	11878
186	2724	11843
187	2733	11808
188	2745	11779
189	2755	11746
190	2765	11713
191	2776	11686
192	2788	11659
193	2797	11624
194	2809	11597
195	2819	11564
196	2828	11528
197	2837	11494
198	2847	11461
199	2856	11427
200	2865	11391
201	2874	11357
202	2884	11324
203	2894	11293
204	2903	11259
205	2912	11223
206	2921	11190
207	2932	11166
208	2942	11135
209	2954	11112
210	2963	11082
211	2973	11051
212	2982	11020
213	2991	10988
214	3001	10957
215	3010	10927
216	3019	10896
217	3028	10865
218	3038	10834
219	3047	10803
220	3056	10773
221	3066	10746
