,Review,Sentiment
1000,So there is no way for me to plug it in here in the US unless I go by a converter.,0
1001,"Good case, Excellent value.",1
1002,Great for the jawbone.,1
1003,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
1004,The mic is great.,1
1005,I have to jiggle the plug to get it to line up right to get decent volume.,0
1006,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0
1007,If you are Razr owner...you must have this!,1
1008,"Needless to say, I wasted my money.",0
1009,What a waste of money and time!.,0
1010,And the sound quality is great.,1
1011,He was very impressed when going from the original battery to the extended battery.,1
1012,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0
1013,Very good quality though,1
1014,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0
1015,Highly recommend for any one who has a blue tooth phone.,1
1016,I advise EVERYONE DO NOT BE FOOLED!,0
1017,So Far So Good!.,1
1018,Works great!.,1
1019,It clicks into place in a way that makes you wonder how long that mechanism would last.,0
1020,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0
1021,I bought this to use with my Kindle Fire and absolutely loved it!,1
1022,The commercials are the most misleading.,0
1023,I have yet to run this new battery below two bars and that's three days without charging.,1
1024,I bought it for my mother and she had a problem with the battery.,0
1025,Great Pocket PC / phone combination.,1
1026,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1
1027,I didn't think that the instructions provided were helpful to me.,0
1028,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0
1029,Doesn't hold charge.,0
1030,"This is a simple little phone to use, but the breakage is unacceptible.",0
1031,This product is ideal for people like me whose ears are very sensitive.,1
1032,It is unusable in a moving car at freeway speed.,0
1033,I have two more years left in this contract and I hate this phone.,0
1034,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1
1035,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0
1036,It has kept up very well.,1
1037,Poor Talk Time Performance.,0
1038,The case is great and works fine with the 680.,1
1039,worthless product.,0
1040,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1
1041,I was not impressed by this product.,0
1042,Nice headset priced right.,1
1043,I only hear garbage for audio.,0
1044,Excellent bluetooth headset.,1
1045,It has all the features I want,1
1046,Who in their right mind is gonna buy this battery?.,0
1047,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0
1048,This case seems well made.,1
1049,Disappointed with battery.,0
1050,Not loud enough and doesn't turn on like it should.,0
1051,good protection and does not make phone too bulky.,1
1052,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1
1053,This phone is pretty sturdy and I've never had any large problems with it.,1
1054,I love this thing!,1
1055,Everything about it is fine and reasonable for the price i.e.,1
1056,VERY DISAPPOINTED.,0
1057,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
1058,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1
1059,The buttons for on and off are bad.,0
1060,Essentially you can forget Microsoft's tech support.,0
1061,"I really recommend this faceplates since it looks very nice, elegant and cool.",1
1062,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
1063,Buy a different phone - but not this.,0
1064,You have to hold the phone at a particular angle for the other party to hear you clearly.,0
1065,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0
1066,"A week later after I activated it, it suddenly died.",0
1067,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
1068,Great for iPODs too.,1
1069,This device is great in several situations:1.),1
1070,Mic Doesn't work.,0
1071,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0
1072,Great choice!,1
1073,Nice docking station for home or work.,1
1074,This is a beautiful phone.,1
1075,Love this product.,1
1076,Do Not Buy for D807...wrongly advertised for D807.,0
1077,This is a great little item.,1
1078,"I love this phone , It is very handy and has a lot of features .",1
1079,I purchased this and within 2 days it was no longer working!!!!!!!!!,0
1080,I wear it everyday and it holds up very well.,1
1081,Not a good bargain.,0
1082,"Well packaged, arrived on time, and works as intended.",1
1083,The battery runs down quickly.,0
1084,"This item worked great, but it broke after 6 months of use.",0
1085,The headsets are easy to use and everyone loves them.,1
1086,This phone works great.,1
1087,The construction of the headsets is poor.,0
1088,Product was excellent and works better than the verizon one and Boy was it cheaper!,1
